id,name,address,category,naver_category,new_cuisine_type,new_main_category
45619,알키미스타(Alquimistar),"서울특별시 서대문구 거북골로24길 27-8, 1층 (북가좌동)",기타,"음식점>카페,디저트",카페,CAFE
45635,밀키샵,"서울특별시 마포구 양화로23길 30, 1층 일부호 (동교동)",기타,"음식점>카페,디저트",카페,CAFE
45674,테디맨션 Teddy's mansion,"서울특별시 종로구 성균관로 15-8, 지상2층 (명륜3가)",기타,,기타,RESTAURANT
45742,덜칼로리 FT,"서울특별시 서대문구 연세로9길 37, 2층 202호 (창천동)",기타,음식점>퓨전음식,한식,RESTAURANT
45783,담너머,"서울특별시 서대문구 명지대1나길 1, 지하1층 (남가좌동)",기타,술집>바(BAR),술집/바,PUB
45813,아이란도,"서울특별시 서대문구 연세로11길 5, 3층 (창천동)",기타,테마카페,카페,CAFE
45833,슬로우캘리 홍대입구역점,"서울특별시 서대문구 신촌로 9, 1층 (창천동)",기타,"도시락,컵밥>다이어트,샐러드",양식,RESTAURANT
45880,맨인문,"서울특별시 서대문구 서소문로 27 (충정로3가, 충정리시온 110호)",기타,음식점>양식,양식,RESTAURANT
45967,일큐팔사츄러스(1Q84츄러스),"서울특별시 서대문구 가좌로 97 (홍은동, 1층)",기타,,기타,RESTAURANT
45973,편의방(便宜坊),"서울특별시 서대문구 연희로 36, 1층 (연희동)",기타,,기타,RESTAURANT
45991,퀴진앙상블(Cuisine ensemble),"서울특별시 서대문구 연세로4길 12, 8층 (창천동)",기타,,기타,RESTAURANT
46063,기억,"서울특별시 서대문구 세무서2길 34, 1층 (홍제동)",기타,분식>김밥,분식,RESTAURANT
46118,LUV PLUTO 러브 플루토,"서울특별시 서대문구 불광천길 180, 지하1층, 1층 101호 (북가좌동, 아임빌)",기타,"음식점>카페,디저트",카페,CAFE
46156,에이치 앤 앤코(HN&CO),"서울특별시 서대문구 충정로 73, 1층 (충정로2가)",기타,,기타,RESTAURANT
46158,S 스낵,"서울특별시 서대문구 연세로 50-1, 지하1층 (신촌동, 연세암병원)",기타,,기타,RESTAURANT
46303,아민 이화,"서울특별시 서대문구 이화여대길 52-31, 1층 (대현동)",기타,음식점>양식,양식,RESTAURANT
46379,온유가 K-ROLL 강남 신세계,"서울특별시 서초구 신반포로 176, 지하1층 (반포동)",기타,,기타,RESTAURANT
46395,덕인,"서울특별시 서대문구 통일로37길 3 (홍제동, 지하1층)",기타,"건강,의료>약국",기타,RESTAURANT
46499,스튜디오웝,"서울특별시 서대문구 성산로 539 (대신동,(지상1층))",기타,"음식점>카페,디저트",카페,CAFE
46579,동막골,"서울특별시 서대문구 가재울로4길 57-55 (남가좌동, 지층)",기타,한식>국밥,한식,RESTAURANT
46603,면대면,"서울특별시 서대문구 연세로11길 32 (창천동,(지상1층))",기타,중식>중식당,중식,RESTAURANT
46611,아키,"서울특별시 서대문구 성산로 531 (대신동,지상1층)",기타,음식점>일식>일식당,일식,RESTAURANT
46696,딥 인더스트리(DIP Industries),"서울특별시 서대문구 증가로 25, 1층 (연희동)",기타,,기타,RESTAURANT
46700,도우푸드,"서울특별시 서대문구 명지대2길 14, 2층 202호 (홍은동)",기타,,기타,RESTAURANT
46730,킬더유튜브,"서울특별시 서대문구 이화여대길 50-6, 1층 (대현동)",기타,,기타,RESTAURANT
